buildingID,title,poso,plirothike,date_created
199,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,50.00,false,2023-05-02 08:43:17.691366 +00:00
199,ΔΙΑΧ/ΚΑ,25.00,false,2023-05-02 08:42:47.095873 +00:00
127, PROTERGIA 28/11/22-28/03/23,59.86,true,2023-05-02 08:38:16.919965 +00:00
127,ΔΙΑΧ/ΚΑ,16.00,false,2023-05-02 08:35:44.853425 +00:00
127,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,55.00,false,2023-05-02 08:35:41.467798 +00:00
127,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,93.00,false,2023-05-02 08:35:38.366811 +00:00
179,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.44,true,2023-05-02 08:31:28.072157 +00:00
179,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.78,true,2023-05-02 08:31:28.009544 +00:00
179,ΔΕΥΑΠ 02/09/22-05/01/23,15.00,true,2023-05-02 08:29:25.901837 +00:00
179,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,65.00,false,2023-05-02 08:28:42.287138 +00:00
179,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,60.00,false,2023-05-02 08:28:39.133522 +00:00
179,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,10.00,false,2023-05-02 08:28:35.727207 +00:00
179,ΔΙΑΧ/ΚΑ ΕΣΤΙΑ,108.00,false,2023-05-02 08:28:31.793936 +00:00
179,ΑΠΟΘΕΜΑΤΙΚΟ,200.00,true,2023-05-02 08:28:22.404609 +00:00
131,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.16,true,2023-05-02 08:26:37.667840 +00:00
131,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,2.84,true,2023-05-02 08:26:37.611880 +00:00
131,ΔΕΥΑΠ 05/01/23-05/03/23,16.00,false,2023-05-02 08:25:48.738246 +00:00
131,ΘΕΡΜΑΝΣΗ ΕΩΣ 27/04/2023,165.92,true,2023-05-02 08:24:04.514992 +00:00
131,ΔΕΗ 29/11/22-28/03/23,239.50,true,2023-05-02 08:20:39.816819 +00:00
131,ΕΝΑΝΤΙ ΕΡΓΑΣΙΩΝ ,500.00,false,2023-05-02 08:19:58.977382 +00:00
131,AΠΟΣΜΗΤΙΚΟ ΧΩΡΟΥ,6.82,true,2023-05-02 08:19:42.148796 +00:00
131,ΔΙΑΧ/ΚΑ,60.00,false,2023-05-02 08:16:21.846223 +00:00
131,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,7.00,false,2023-05-02 08:16:18.421990 +00:00
131,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,79.99,false,2023-05-02 08:16:15.180857 +00:00
